Município;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out
411535 Maripá;2;2;2;2;2;2;2;2;2;2
411540 Marmeleiro;62;62;62;12;12;12;12;12;12;12
411550 Marumbi;21;21;21;21;21;21;21;21;21;21
411560 Matelândia;48;48;48;48;48;48;48;48;48;48
411570 Matinhos;12;12;12;12;12;12;12;12;12;12
411580 Medianeira;192;192;192;192;192;162;162;162;162;162
411600 Miraselva;10;10;10;10;10;10;10;10;10;10
411605 Missal;44;37;37;41;41;41;41;41;41;41
411620 Morretes;22;22;22;22;22;18;18;18;18;18
411670 Nova Aurora;49;49;49;49;49;49;49;49;49;49
411680 Nova Cantu;22;22;22;22;22;22;22;22;22;22
411690 Nova Esperança;29;29;29;29;29;29;29;29;29;29
411695 Nova Esperança do Sudoeste;12;12;12;12;12;12;12;12;12;12
411700 Nova Fátima;16;16;16;16;16;16;16;16;16;16
411710 Nova Londrina;33;33;33;33;33;33;33;33;33;33
411720 Nova Olímpia;16;16;16;16;16;16;16;16;16;16
411725 Nova Prata do Iguaçu;17;17;17;-;-;-;-;-;-;-
411722 Nova Santa Rosa;11;11;11;11;11;11;11;11;11;11
411727 Nova Tebas;55;49;48;48;48;48;48;48;48;48
411730 Ortigueira;30;30;30;30;30;30;30;30;30;30
411750 Paiçandu;26;26;26;26;26;26;26;26;26;26
411760 Palmas;91;91;91;91;91;91;91;91;91;91
411770 Palmeira;146;146;93;93;93;93;93;93;46;46
411790 Palotina;54;54;54;54;54;54;54;54;54;54
411800 Paraíso do Norte;42;42;42;42;42;42;44;44;44;44
411820 Paranaguá;189;189;179;179;179;179;169;169;169;169
411830 Paranapoema;15;15;15;15;15;15;15;15;15;15
411840 Paranavaí;177;177;167;167;167;167;167;167;167;167
411845 Pato Bragado;17;17;17;17;17;17;17;17;17;17
411850 Pato Branco;267;267;267;267;267;267;267;267;267;267
411870 Paulo Frontin;12;12;12;12;12;12;12;12;12;12
411890 Pérola;19;19;19;19;19;19;19;19;19;19
411910 Piên;50;50;50;50;50;50;50;50;50;50
411915 Pinhais;287;287;287;287;287;287;287;287;287;287
411920 Pinhalão;27;27;27;27;27;27;27;27;27;27
411930 Pinhão;91;91;91;91;91;91;91;91;91;91
411940 Piraí do Sul;20;20;20;20;20;20;20;20;20;20
411950 Piraquara;648;653;653;658;658;658;658;658;658;658
411960 Pitanga;97;97;97;97;97;97;97;97;97;97
411970 Planaltina do Paraná;15;15;15;15;15;15;15;15;15;15
411980 Planalto;42;42;42;42;42;42;42;42;42;42
411990 Ponta Grossa;774;774;788;802;715;703;622;613;625;625
412000 Porecatu;31;31;31;31;31;31;31;31;31;31
412020 Porto Rico;10;10;10;10;10;10;10;10;10;10
412033 Prado Ferreira;20;20;20;20;20;20;20;20;20;20
412035 Pranchita;48;48;48;48;48;48;48;48;48;48
412040 Presidente Castelo Branco;18;18;18;18;-;-;-;-;-;-
412060 Prudentópolis;127;127;127;127;127;127;127;127;127;127
412070 Quatiguá;28;28;28;28;28;28;28;28;28;28
412090 Quedas do Iguaçu;38;38;38;38;38;38;38;38;38;38
412100 Querência do Norte;26;26;26;26;26;26;26;26;26;26
412120 Quitandinha;25;25;25;25;25;25;25;25;25;25
412130 Rancho Alegre;16;16;16;16;16;16;16;16;16;16
412150 Rebouças;56;56;56;56;56;56;56;56;56;56
412170 Reserva;39;39;39;39;39;39;-;-;-;-
412180 Ribeirão Claro;54;54;54;54;54;54;54;54;54;54
412190 Ribeirão do Pinhal;49;49;49;49;49;49;49;49;49;49
412200 Rio Azul;55;55;55;55;55;55;55;55;55;55
412220 Rio Branco do Sul;30;30;30;30;30;30;30;30;30;30
412230 Rio Negro;30;30;30;30;30;30;30;30;30;30
412240 Rolândia;213;213;213;213;213;213;213;213;213;213
412250 Roncador;31;31;31;31;31;31;31;31;31;31
412260 Rondon;31;31;31;31;31;31;31;31;31;31
412265 Rosário do Ivaí;25;25;25;25;25;25;25;25;25;25
412290 Salto do Itararé;20;20;20;20;20;20;20;20;20;20
412300 Salto do Lontra;21;21;21;21;-;-;-;-;-;-
412310 Santa Amélia;15;15;15;15;15;15;15;15;15;15
412350 Santa Helena;53;53;53;53;53;53;53;53;53;53
412370 Santa Isabel do Ivaí;27;27;27;27;27;27;27;27;27;27
412380 Santa Izabel do Oeste;32;32;32;32;32;32;32;32;32;32
412385 Santa Maria do Oeste;41;41;41;41;41;41;41;41;41;41
412390 Santa Mariana;36;36;36;36;36;36;36;36;36;36
412400 Santana do Itararé;20;20;20;20;20;20;20;20;20;20
412410 Santo Antônio da Platina;145;145;145;155;155;155;155;155;155;155
412420 Santo Antônio do Caiuá;10;10;10;10;10;10;10;10;10;10
412430 Santo Antônio do Paraíso;6;6;6;6;6;6;6;6;6;6
412440 Santo Antônio do Sudoeste;30;30;30;30;30;28;28;28;28;28
412460 São Carlos do Ivaí;16;16;16;16;16;16;16;16;16;16
412470 São Jerônimo da Serra;20;20;20;20;20;20;20;20;20;20
412490 São João do Caiuá;17;17;17;17;17;17;17;17;17;17
412500 São João do Ivaí;20;20;20;20;20;20;20;20;20;20
412510 São João do Triunfo;20;20;25;25;25;25;25;25;25;25
412520 São Jorge d'Oeste;29;29;29;29;29;29;29;29;29;29
412535 São Jorge do Patrocínio;22;22;22;22;22;22;22;22;22;22
412540 São José da Boa Vista;18;18;18;18;18;18;18;18;18;18
412545 São José das Palmeiras;22;22;22;22;22;22;22;22;22;22
412550 São José dos Pinhais;177;177;178;169;169;169;169;169;169;169
412560 São Mateus do Sul;50;50;50;50;50;50;50;50;50;50
412570 São Miguel do Iguaçu;254;254;254;254;254;254;254;254;254;254
412580 São Pedro do Ivaí;25;25;25;25;25;25;25;25;25;25
412600 São Sebastião da Amoreira;25;25;25;25;25;25;25;25;25;25
412620 Sapopema;31;31;31;31;31;31;31;31;31;31
412625 Sarandi;167;167;167;167;167;167;167;167;167;167
412630 Sengés;1;1;1;1;1;1;-;-;-;-
412640 Sertaneja;23;23;23;23;23;23;23;23;23;23
412650 Sertanópolis;16;16;16;16;16;16;16;16;16;16
412660 Siqueira Campos;54;54;54;54;54;54;54;54;54;54
412667 Tamarana;16;16;16;16;16;16;16;16;16;16
412670 Tamboara;9;9;9;9;9;9;9;9;9;9
412700 Teixeira Soares;17;17;17;17;17;17;17;17;17;17
412710 Telêmaco Borba;187;187;178;178;198;198;198;198;194;194
412720 Terra Boa;65;65;65;61;61;61;61;61;61;61
412730 Terra Rica;29;29;29;29;29;29;29;29;29;29
412740 Terra Roxa;-;21;21;21;21;21;21;21;21;21
412750 Tibagi;30;30;30;30;30;30;30;30;30;30
412760 Tijucas do Sul;16;16;16;16;16;16;16;16;16;16
412770 Toledo;321;321;321;339;383;383;383;321;321;321
412780 Tomazina;66;66;66;66;66;66;66;66;66;66
412785 Três Barras do Paraná;34;34;34;34;34;34;34;34;34;34
412788 Tunas do Paraná;6;6;6;6;6;6;6;6;6;6
412790 Tuneiras do Oeste;23;23;23;23;23;23;23;22;22;22
412795 Tupãssi;23;23;23;23;23;23;23;23;23;23
412796 Turvo;53;53;53;53;53;53;53;53;53;53
412800 Ubiratã;102;102;106;106;106;106;106;106;106;106
412810 Umuarama;687;687;687;687;687;687;687;687;687;687
412820 União da Vitória;250;250;250;250;250;250;250;250;250;250
412840 Uraí;48;48;48;48;48;48;48;48;48;48
412855 Vera Cruz do Oeste;27;27;27;27;27;27;27;27;27;27
412860 Verê;20;20;20;20;20;20;20;20;20;20
412850 Wenceslau Braz;33;33;33;33;33;33;33;33;33;33
420010 Abelardo Luz;42;42;42;42;42;42;42;42;42;42
420020 Agrolândia;-;-;-;-;-;25;25;36;36;36
420040 Água Doce;31;31;31;31;31;31;31;31;31;31
420070 Alfredo Wagner;24;24;24;24;24;24;24;24;24;24
420090 Angelina;66;66;66;66;66;67;75;75;75;75
420100 Anita Garibaldi;33;33;33;38;38;38;38;38;38;38
420110 Anitápolis;49;49;47;45;45;45;43;43;43;43
420127 Arabutã;21;21;21;21;21;21;21;21;21;21
420140 Araranguá;117;117;117;117;117;117;117;117;117;117
420150 Armazém;31;31;31;31;43;43;43;43;43;43
420160 Arroio Trinta;21;21;21;21;21;21;21;21;21;21
420190 Aurora;-;-;14;14;14;14;14;14;14;14
420200 Balneário Camboriú;248;248;248;248;288;288;288;279;279;279
420220 Benedito Novo;2;2;2;2;2;2;2;2;2;2
420230 Biguaçu;68;68;68;79;79;79;79;79;74;83
420240 Blumenau;682;682;682;696;696;696;696;696;696;696
420250 Bom Jardim da Serra;18;18;18;-;14;14;14;14;14;14
420260 Bom Retiro;50;50;50;50;50;50;50;50;50;50
420245 Bombinhas;-;4;4;4;4;4;4;4;4;4
420280 Braço do Norte;72;72;72;72;68;68;68;68;68;68
420290 Brusque;270;270;270;270;270;270;270;270;270;270
420300 Caçador;118;118;106;106;106;106;106;100;100;100
420310 Caibi;27;27;27;27;27;27;27;27;27;27
420320 Camboriú;157;157;157;157;157;157;157;157;157;157
420330 Campo Alegre;32;32;32;32;32;32;32;32;32;32
420340 Campo Belo do Sul;32;32;32;-;-;32;32;32;32;32
420350 Campo Erê;42;42;42;50;50;50;50;50;50;50
420360 Campos Novos;101;101;101;101;100;100;100;76;76;76
420370 Canelinha;20;20;20;20;20;18;18;18;18;18
420380 Canoinhas;65;65;65;65;65;65;57;57;57;57
420390 Capinzal;63;63;63;77;63;63;63;63;63;63
420400 Catanduvas;33;33;33;33;33;33;33;33;33;33
420410 Caxambu do Sul;27;27;27;27;27;27;27;27;27;27
420420 Chapecó;385;385;385;408;406;406;406;406;406;406
420430 Concórdia;184;184;184;168;168;168;168;168;168;168
420440 Coronel Freitas;30;30;30;30;30;30;30;30;30;30
420455 Correia Pinto;33;33;33;33;33;33;33;33;33;33
420460 Criciúma;468;468;468;469;469;504;504;504;505;505
420470 Cunha Porã;45;45;45;45;45;45;48;48;48;48
420480 Curitibanos;126;126;126;126;136;136;136;136;136;136
420490 Descanso;37;37;37;37;60;60;60;60;60;42
420500 Dionísio Cerqueira;45;42;42;42;42;42;42;42;42;42
420530 Faxinal dos Guedes;34;34;34;34;34;34;34;34;34;34
420540 Florianópolis;1595;1598;1610;1597;1583;1595;1582;1592;1595;1593
420550 Fraiburgo;51;51;51;51;51;51;51;51;51;51
420580 Garuva;20;20;20;20;20;20;20;20;20;20
420590 Gaspar;100;100;100;100;100;100;100;100;100;100
420630 Guabiruba;16;16;16;16;16;16;16;16;16;-
420640 Guaraciaba;36;36;36;36;36;36;29;29;29;29
420650 Guaramirim;50;50;50;50;50;50;50;50;50;50
420660 Guarujá do Sul;19;19;19;19;19;19;19;19;19;19
420680 Ibicaré;30;30;30;30;30;30;30;30;30;30
420690 Ibirama;80;80;80;80;80;80;80;80;80;71
420700 Içara;91;91;91;91;91;91;91;91;91;91
420720 Imaruí;-;-;-;-;-;-;6;6;6;6
420730 Imbituba;68;68;68;60;60;60;60;60;60;60
420740 Imbuia;11;11;11;11;11;11;11;11;11;11
420750 Indaial;95;95;95;95;95;95;95;95;95;95
420760 Ipira;27;27;27;27;27;27;27;27;27;27
420765 Iporã do Oeste;32;32;32;33;33;33;33;33;33;35
420770 Ipumirim;12;12;12;12;12;12;12;12;12;12
420780 Irani;45;45;45;45;45;45;45;45;45;45
420790 Irineópolis;19;19;19;19;19;19;19;19;19;19
420800 Itá;39;39;39;39;39;39;39;39;39;39
420810 Itaiópolis;21;21;21;21;21;21;21;21;21;21
420820 Itajaí;400;400;400;400;400;400;400;400;400;400
420830 Itapema;32;32;32;32;52;52;52;52;52;52
420840 Itapiranga;48;48;62;62;62;62;62;62;62;62
420845 Itapoá;1;1;1;1;1;1;1;1;1;1
420850 Ituporanga;60;60;60;60;60;60;60;60;55;55
420870 Jacinto Machado;45;45;45;45;45;45;45;45;45;45
420880 Jaguaruna;49;49;49;49;49;49;49;49;49;49
420890 Jaraguá do Sul;334;318;318;294;294;294;294;294;318;318
420900 Joaçaba;187;187;186;186;186;186;194;194;194;194
420910 Joinville;1187;1187;1187;1206;1207;1227;1128;1108;1144;1148
420915 José Boiteux;1;1;1;1;1;1;1;1;1;1
420930 Lages;438;443;436;387;374;383;379;383;382;381
420940 Laguna;98;98;98;98;98;100;100;102;102;102
420960 Lauro Muller;39;39;39;39;39;39;39;39;39;39
420970 Lebon Régis;45;45;45;45;41;41;41;41;41;41
420985 Lindóia do Sul;71;71;71;71;71;71;71;75;75;75
421000 Luiz Alves;39;39;39;39;39;39;39;39;39;39
421003 Luzerna;63;91;91;91;91;91;91;91;91;91
421010 Mafra;125;125;125;125;125;125;125;125;125;125
421030 Major Vieira;37;37;37;37;37;37;37;37;37;37
421050 Maravilha;81;81;81;81;81;81;81;81;81;81
421060 Massaranduba;21;21;21;21;21;21;21;21;21;21
421080 Meleiro;50;50;49;50;50;50;50;50;50;50
421090 Modelo;31;31;31;31;31;31;31;31;31;31
421100 Mondaí;48;48;48;64;64;64;64;64;64;64
421105 Monte Carlo;16;16;16;16;16;16;16;16;16;16
421110 Monte Castelo;22;22;22;22;22;22;22;22;22;22
421120 Morro da Fumaça;134;134;134;134;134;134;135;135;135;135
421130 Navegantes;39;39;39;39;39;39;39;39;39;39
421140 Nova Erechim;33;33;33;33;33;33;33;33;33;33
421150 Nova Trento;50;50;50;50;50;50;40;50;55;55
421160 Nova Veneza;49;49;49;49;49;49;49;49;49;49
421170 Orleans;52;52;52;52;52;52;52;52;52;55
421175 Otacílio Costa;50;50;50;50;50;50;50;50;50;50
421190 Palhoça;34;42;42;42;42;42;42;42;42;42
421200 Palma Sola;35;35;35;35;36;36;36;36;36;36
421210 Palmitos;73;73;73;73;73;73;73;73;73;73
421220 Papanduva;35;35;35;35;35;37;37;37;37;37
421250 Penha;80;80;80;80;80;80;80;80;73;74
421260 Peritiba;32;32;32;32;32;32;32;32;32;32
421270 Petrolândia;16;16;16;16;16;16;16;16;16;16
421290 Pinhalzinho;42;42;42;42;42;42;42;42;42;42
421320 Pomerode;58;58;50;50;50;50;50;50;50;50
421330 Ponte Alta;26;26;26;26;26;26;26;-;38;38
421340 Ponte Serrada;77;77;77;77;77;77;77;77;77;77
421360 Porto União;91;91;91;99;99;99;99;99;99;99
421370 Pouso Redondo;41;41;41;41;41;41;41;41;41;41
421380 Praia Grande;50;50;50;50;50;50;50;50;50;50
421400 Presidente Getúlio;44;44;44;63;44;44;44;44;44;44
421420 Quilombo;47;47;47;47;47;47;50;50;50;50
421450 Rio do Campo;31;31;31;31;31;31;31;31;31;31
421480 Rio do Sul;258;258;258;258;258;258;258;258;258;258
421470 Rio dos Cedros;49;49;49;49;49;49;49;49;49;49
421490 Rio Fortuna;32;32;32;32;32;32;32;32;32;32
421500 Rio Negrinho;67;67;67;67;67;79;79;79;79;85
421510 Rodeio;30;30;30;30;30;30;30;30;-;-
421530 Salete;31;31;31;31;31;31;31;31;31;31
421540 Salto Veloso;16;16;16;16;15;15;15;15;15;15
421550 Santa Cecília;119;119;131;131;123;140;140;140;140;140
421570 Santo Amaro da Imperatriz;49;49;49;49;49;49;49;49;49;59
421580 São Bento do Sul;96;96;96;96;96;96;96;96;96;96
421590 São Bonifácio;29;29;29;29;29;29;29;29;29;29
421600 São Carlos;70;67;67;67;67;67;67;70;70;70
421620 São Francisco do Sul;37;37;37;37;37;37;37;37;37;37
421630 São João Batista;30;30;30;30;30;30;30;32;32;32
421625 São João do Oeste;32;32;36;36;32;32;32;32;32;32
421650 São Joaquim;129;129;129;129;129;129;129;129;129;129
421660 São José;908;908;908;895;872;491;853;853;853;853
421670 São José do Cedro;33;33;33;33;33;23;23;23;23;23
421690 São Lourenço do Oeste;56;56;56;56;56;56;56;56;56;56
421710 São Martinho;16;16;16;16;16;16;16;16;16;16
421720 São Miguel do Oeste;119;119;119;119;119;119;119;119;119;119
421725 São Pedro de Alcântara;93;93;93;105;105;105;105;105;105;105
421730 Saudades;33;33;33;33;33;33;33;33;33;33
421750 Seara;50;50;50;52;52;52;52;52;52;52
421770 Sombrio;106;106;106;106;106;106;106;106;106;106
421780 Taió;36;36;36;36;36;36;36;36;36;36
421790 Tangará;54;54;54;23;23;54;31;54;54;54
421800 Tijucas;60;60;60;60;60;60;60;60;60;60
421810 Timbé do Sul;28;28;28;28;28;28;28;28;28;28
421820 Timbó;100;100;100;148;142;142;142;142;142;75
421830 Três Barras;54;54;54;54;54;54;54;54;58;56
421840 Treze de Maio;41;41;41;41;41;41;41;41;41;41
421860 Trombudo Central;68;68;68;68;68;68;68;68;68;68
421870 Tubarão;463;463;463;463;463;463;463;463;463;463
421875 Tunápolis;48;48;48;48;48;48;48;48;48;48
421880 Turvo;65;65;60;60;60;60;60;60;60;60
421890 Urubici;48;48;48;48;48;48;48;48;48;48
421900 Urussanga;110;110;110;90;90;90;90;90;90;90
421910 Vargeão;24;24;24;24;24;24;24;24;24;24
421920 Vidal Ramos;21;21;21;21;21;21;21;21;21;21
421930 Videira;135;135;135;135;135;135;135;135;135;135
421935 Vitor Meireles;17;17;17;17;17;17;17;17;17;17
421940 Witmarsum;21;21;21;21;21;21;21;21;21;21
421950 Xanxerê;151;151;151;135;151;151;151;151;151;151
421960 Xavantina;23;23;23;23;23;23;23;23;23;23
421970 Xaxim;48;48;48;48;34;34;34;34;34;34
430003 Aceguá;42;42;42;42;42;42;42;42;42;42
430010 Agudo;51;51;51;51;51;51;51;51;51;51
430020 Ajuricaba;49;49;49;49;49;49;49;50;50;50
430030 Alecrim;50;50;50;50;50;50;50;50;50;50
430040 Alegrete;172;172;172;192;172;172;172;172;172;172
430050 Alpestre;23;23;23;23;23;23;23;23;23;23
430060 Alvorada;97;97;97;97;97;97;90;90;90;90
430064 Ametista do Sul;28;28;28;28;28;28;28;28;28;28
430070 Anta Gorda;38;38;38;38;38;38;38;38;38;38
430080 Antônio Prado;51;51;51;51;51;51;51;51;51;51
430090 Aratiba;36;36;36;36;36;36;36;36;36;36
430100 Arroio do Meio;89;89;89;89;89;89;89;89;89;89
430120 Arroio do Tigre;76;76;76;76;76;76;76;76;76;76
430130 Arroio Grande;48;48;48;48;48;48;48;48;48;48
430140 Arvorezinha;60;60;60;60;60;60;60;60;60;60
430150 Augusto Pestana;55;55;55;55;55;55;55;55;55;55
430160 Bagé;220;220;220;270;270;270;270;270;268;268
430165 Barão;24;24;24;-;-;-;-;-;-;-
430190 Barra do Ribeiro;41;41;41;41;41;41;41;41;41;41
430210 Bento Gonçalves;244;244;244;284;284;284;284;284;284;288
430220 Boa Vista do Buricá;40;40;40;40;40;40;40;40;40;40
430230 Bom Jesus;35;35;35;35;35;35;35;32;32;32
430235 Bom Princípio;43;43;43;43;43;43;43;43;43;43
430240 Bom Retiro do Sul;50;50;50;50;50;50;50;50;50;50
430245 Boqueirão do Leão;39;39;39;39;39;39;39;39;39;39
430270 Butiá;29;29;29;29;29;38;38;38;38;38
430280 Caçapava do Sul;79;79;79;79;79;79;79;79;79;79
430290 Cacequi;36;36;36;36;36;36;36;36;36;36
430300 Cachoeira do Sul;174;174;177;235;235;235;234;234;234;234
430310 Cachoeirinha;81;81;81;141;133;133;133;133;133;133
430330 Caibaté;40;40;40;40;40;40;40;40;40;40
430340 Caiçara;41;41;41;41;41;41;41;41;41;41
430350 Camaquã;140;145;145;145;145;145;141;141;141;141
430360 Cambará do Sul;32;32;32;32;32;32;32;32;32;32
430370 Campina das Missões;55;55;55;55;55;55;55;55;55;55
430380 Campinas do Sul;49;49;49;49;49;49;49;49;49;49
430390 Campo Bom;81;81;81;81;81;81;89;89;89;89
430400 Campo Novo;35;35;35;35;35;35;35;35;35;35
430420 Candelária;105;105;105;105;105;105;102;104;104;104
430430 Cândido Godói;39;39;39;39;39;39;39;39;39;39
430440 Canela;52;52;53;53;53;53;53;53;53;53
430450 Canguçu;104;104;104;104;104;104;104;104;104;104
430460 Canoas;821;833;892;907;918;913;963;963;959;959
430463 Capão da Canoa;91;91;91;91;91;91;91;91;91;91
430470 Carazinho;140;140;140;140;140;140;140;140;140;140
430480 Carlos Barbosa;72;72;72;72;72;72;79;79;79;79
430490 Casca;33;33;33;33;33;33;33;33;33;33
430510 Caxias do Sul;1265;1265;1300;1322;1356;1356;1362;1362;1362;1362
430520 Cerro Largo;55;55;55;55;55;55;53;53;53;53
430530 Chapada;49;49;49;49;49;49;49;49;49;49
430535 Charqueadas;60;60;60;60;60;60;60;60;60;60
430540 Chiapetta;30;30;30;30;30;30;30;30;30;30
430570 Condor;18;25;25;25;17;17;17;17;17;17
430580 Constantina;23;23;23;23;23;23;23;23;23;23
430590 Coronel Bicaco;30;30;30;30;30;30;30;30;30;30
430600 Crissiumal;55;55;55;55;55;55;55;55;55;55
430610 Cruz Alta;233;233;253;253;253;210;210;210;210;210
430620 Cruzeiro do Sul;35;35;35;35;35;35;35;35;35;35
430630 David Canabarro;32;32;32;32;32;32;32;32;32;32
430640 Dois Irmãos;68;68;70;70;70;70;70;70;70;66
430645 Dois Lajeados;50;50;50;50;50;50;50;50;50;50
430650 Dom Feliciano;25;25;25;25;25;25;25;25;25;25
430660 Dom Pedrito;120;120;120;120;117;117;117;117;117;117
430680 Encantado;112;112;112;112;112;112;112;117;117;117
430690 Encruzilhada do Sul;53;50;50;50;50;50;50;50;50;50
430700 Erechim;289;289;289;289;289;289;289;289;287;268
430750 Espumoso;94;94;94;94;94;62;62;62;62;60
430755 Estação;42;42;42;42;42;42;42;42;42;42
430760 Estância Velha;52;52;52;52;52;52;52;52;52;52
430770 Esteio;145;145;145;145;145;145;145;145;145;145
430780 Estrela;120;120;120;120;120;120;120;120;120;120
430790 Farroupilha;102;102;102;110;110;110;110;110;110;110
430800 Faxinal do Soturno;45;56;54;54;50;58;58;58;58;58
430810 Feliz;51;51;51;51;51;51;51;51;51;51
430820 Flores da Cunha;52;52;52;52;52;52;52;52;52;52
430840 Formigueiro;27;27;27;27;27;27;27;27;27;27
430845 Fortaleza dos Valos;24;24;24;24;24;24;24;24;24;24
430850 Frederico Westphalen;101;101;101;101;101;101;101;101;101;101
430860 Garibaldi;75;75;75;75;75;75;75;75;75;75
430870 Gaurama;31;31;31;31;31;31;31;31;31;31
430890 Getúlio Vargas;89;89;89;89;85;85;85;85;85;85
430900 Giruá;50;50;50;50;50;50;50;50;50;50
430910 Gramado;93;91;91;91;91;92;92;92;92;103
430920 Gravataí;191;191;191;191;191;230;188;188;188;199
430925 Guabiju;4;4;4;4;4;4;4;4;4;4
430930 Guaíba;26;26;26;26;26;36;26;26;26;26
430940 Guaporé;73;73;73;73;73;73;73;73;73;73
430950 Guarani das Missões;45;45;45;45;45;45;45;45;45;45
430710 Herval;34;34;34;34;34;34;34;34;34;34
430960 Horizontina;66;66;66;66;58;58;58;58;58;58
430970 Humaitá;32;32;32;32;32;32;32;32;32;32
431000 Ibirubá;41;41;41;41;41;41;41;41;41;41
431010 Igrejinha;83;83;83;95;95;95;95;95;95;95
431020 Ijuí;335;335;361;361;323;323;323;408;395;395
431030 Ilópolis;40;40;40;40;40;40;40;40;40;40
431050 Iraí;64;64;64;64;64;64;64;64;64;64
431053 Itaara;20;20;20;20;20;20;20;20;20;20
431060 Itaqui;79;79;79;79;79;79;79;79;79;79
431070 Itatiba do Sul;10;10;10;10;10;10;10;10;10;10
431075 Ivorá;24;24;24;24;24;24;24;24;24;24
431080 Ivoti;52;52;52;52;52;52;52;52;52;52
431085 Jaboticaba;50;50;50;50;50;50;50;50;50;50
431100 Jaguarão;74;74;74;74;74;74;74;74;74;74
431110 Jaguari;51;51;51;51;51;51;51;51;51;51
431112 Jaquirana;10;10;10;10;10;10;10;10;10;10
431115 Jóia;3;3;3;3;3;3;3;3;3;3
431120 Júlio de Castilhos;67;67;67;67;67;67;67;67;67;67
431130 Lagoa Vermelha;71;71;71;71;71;71;71;71;71;71
431140 Lajeado;139;139;139;139;139;139;151;151;151;151
431150 Lavras do Sul;32;32;32;32;32;32;32;32;32;32
431180 Marau;104;104;104;104;104;104;104;104;104;104
431190 Marcelino Ramos;52;52;52;52;52;52;52;52;52;52
431205 Marques de Souza;40;40;40;40;40;40;40;40;40;40
431210 Mata;28;28;28;28;28;28;28;28;28;28
431220 Maximiliano de Almeida;39;39;39;39;39;39;39;39;39;39
431240 Montenegro;216;216;216;216;216;216;216;216;216;216
431245 Morro Redondo;19;19;19;19;19;-;-;-;-;-
431250 Mostardas;29;29;29;29;29;29;29;29;29;29
431260 Muçum;31;31;31;31;31;31;31;31;31;31
431265 Não-Me-Toque;101;101;101;101;101;101;76;76;76;76
431270 Nonoai;81;81;81;81;81;81;81;81;81;81
431290 Nova Bassano;54;54;54;54;54;54;54;54;54;54
431300 Nova Bréscia;37;37;37;37;37;37;37;37;37;37
431310 Nova Palma;52;52;52;52;52;52;52;52;52;52
431320 Nova Petrópolis;38;38;38;38;38;38;38;38;38;38
431330 Nova Prata;78;78;78;78;71;71;71;71;71;71
431340 Novo Hamburgo;460;459;459;459;459;453;453;453;453;453
431350 Osório;87;87;87;87;87;87;89;89;89;89
431360 Paim Filho;49;49;49;49;49;49;49;49;49;49
431365 Palmares do Sul;39;39;39;39;39;39;39;39;39;39
431370 Palmeira das Missões;107;107;107;107;107;107;107;107;107;107
431380 Palmitinho;50;50;50;50;50;50;64;64;64;64
431390 Panambi;70;70;68;70;70;70;70;70;70;70
431400 Paraí;39;39;39;39;39;39;39;39;39;39
431402 Paraíso do Sul;32;32;32;32;32;32;32;32;32;32
431405 Parobé;100;100;100;120;120;120;87;87;87;87
431410 Passo Fundo;1123;1123;1166;1166;1166;1166;1166;1166;1166;1154
431420 Pedro Osório;50;50;50;50;50;50;50;50;50;50
431430 Pejuçara;16;16;16;16;16;16;16;16;16;16
431440 Pelotas;1101;1101;1106;1119;1135;1135;1145;1091;1153;1155
431447 Pinhal Grande;30;30;30;30;30;30;30;30;30;30
431450 Pinheiro Machado;51;51;51;51;51;51;51;51;51;51
431460 Piratini;105;105;105;105;105;105;105;105;105;105
431470 Planalto;50;50;50;50;50;50;50;50;50;50
431480 Portão;52;52;52;52;52;52;52;52;52;52
431490 Porto Alegre;7003;7019;7004;7019;6974;7023;6993;6879;6815;6842
431500 Porto Lucena;50;50;50;50;50;50;50;50;50;50
431510 Porto Xavier;50;50;50;50;50;50;50;50;50;50
431515 Progresso;49;49;49;49;49;49;49;49;49;49
431520 Putinga;30;30;30;30;30;30;30;30;30;30
431530 Quaraí;62;62;62;62;62;62;62;62;62;62
431535 Quinze de Novembro;19;19;19;19;19;19;19;19;19;19
431550 Restinga Seca;51;51;51;51;51;51;51;51;51;51
431560 Rio Grande;779;779;779;779;733;733;745;749;749;625
431570 Rio Pardo;97;97;97;97;97;97;97;97;97;97
431575 Riozinho;33;33;33;33;33;33;33;33;33;33
431580 Roca Sales;38;38;38;38;38;38;38;38;38;38
431590 Rodeio Bonito;51;51;51;51;51;51;51;51;51;51
431600 Rolante;52;52;52;52;52;52;52;52;52;52
431610 Ronda Alta;108;108;108;108;108;108;108;108;108;108
431620 Rondinha;32;32;32;32;32;32;32;32;32;32
431630 Roque Gonzales;35;35;35;35;35;35;35;35;35;35
431640 Rosário do Sul;96;96;96;106;96;96;96;96;96;96
431643 Saldanha Marinho;19;19;19;19;19;19;19;19;19;19
431645 Salto do Jacuí;32;32;32;32;32;32;32;32;32;32
431650 Salvador do Sul;32;32;32;32;32;32;32;32;32;32
431660 Sananduva;73;73;73;73;73;73;73;73;73;73
431710 Sant'Ana do Livramento;189;189;189;189;189;189;189;189;189;189
431670 Santa Bárbara do Sul;51;51;51;51;51;51;51;51;51;51
431680 Santa Cruz do Sul;312;312;312;362;362;362;362;362;312;312
431690 Santa Maria;1032;1032;1024;976;926;926;926;926;926;926
