Município;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out
150220 Capanema;278;278;278;278;278;278;199;199;199;199
150230 Capitão Poço;146;146;146;164;164;164;164;164;164;164
150240 Castanhal;402;402;402;420;420;421;421;540;540;540
150250 Chaves;9;9;9;9;16;16;16;16;16;16
150260 Colares;8;8;8;8;8;8;8;8;8;8
150270 Conceição do Araguaia;119;119;119;119;119;119;119;119;119;119
150275 Concórdia do Pará;25;25;25;25;25;25;25;25;25;25
150276 Cumaru do Norte;11;11;11;11;11;11;11;11;11;11
150277 Curionópolis;50;50;50;50;50;50;50;50;50;50
150280 Curralinho;26;26;26;26;26;26;26;26;26;26
150290 Curuçá;27;27;27;27;27;27;27;27;27;27
150293 Dom Eliseu;81;81;81;81;81;81;81;81;81;81
150295 Eldorado do Carajás;41;41;41;41;41;41;41;41;41;41
150300 Faro;10;10;10;10;10;10;10;10;10;10
150304 Floresta do Araguaia;20;20;20;20;20;20;20;20;20;20
150307 Garrafão do Norte;20;20;20;20;20;20;20;20;20;20
150309 Goianésia do Pará;24;24;24;24;24;24;24;24;24;24
150310 Gurupá;23;23;23;23;23;23;23;23;23;23
150320 Igarapé-Açu;45;45;45;45;45;45;45;45;45;45
150330 Igarapé-Miri;133;133;133;133;133;133;133;133;133;133
150340 Inhangapi;19;19;19;19;19;19;19;19;19;19
150345 Ipixuna do Pará;76;76;76;76;76;86;86;86;86;86
150350 Irituia;30;30;30;30;30;30;30;30;30;30
150360 Itaituba;413;413;413;413;413;467;467;467;467;467
150370 Itupiranga;53;53;53;53;53;53;53;53;53;53
150375 Jacareacanga;24;24;24;24;24;24;24;24;24;24
150380 Jacundá;165;165;165;165;173;174;193;193;174;174
150390 Juruti;57;57;57;57;82;82;82;82;82;82
150400 Limoeiro do Ajuru;20;20;20;20;20;20;20;20;20;20
150405 Mãe do Rio;52;52;52;52;52;52;52;52;52;52
150420 Marabá;312;312;312;432;392;392;412;386;386;432
150430 Maracanã;27;27;27;27;27;27;27;27;27;27
150440 Marapanim;18;18;18;18;18;18;18;18;18;18
150442 Marituba;164;164;164;164;164;164;164;164;164;164
150445 Medicilândia;41;41;41;41;41;41;41;41;41;41
150450 Melgaço;15;15;15;15;15;15;15;15;15;15
150460 Mocajuba;27;27;27;27;27;27;27;27;27;27
150470 Moju;50;50;50;50;50;50;50;50;50;50
150480 Monte Alegre;85;85;85;85;73;73;73;73;73;73
150490 Muaná;26;26;26;26;42;42;42;42;42;42
